time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1728066476247903200,0.0929033203125,-0.06701873987913132,-0.023844530805945396,-0.11115474998950958,0.0391802117228508,-0.08819188922643661,-0.995332658290863,-0.0010180622339248657,0.0027733594179153442,0.003160417079925537,0.9988324534848251,0.04414748753107048,0.019613005626265792,-7.179715958723467e-18
1728066476257934300,0.102934326171875,-0.05410686507821083,-0.008512499742209911,-0.11156141012907028,0.03831169381737709,-0.08734770864248276,-0.9954409003257751,0.005557246506214142,0.004294306039810181,0.0018953680992126465,0.9988594076473757,0.04373426953131176,0.019153644548271998,-0.0005498682540525545
1728066476267965400,0.11296533203125,-0.05127406120300293,0.004510357975959778,-0.11445680260658264,0.037650588899850845,-0.08687571436166763,-0.9955074191093445,0.009270109236240387,0.006675697863101959,-0.0031040310859680176,0.9988755821258859,0.04350737197486708,0.018798767566698966,-0.0010955319385724358
1728066476277995300,0.122995361328125,-0.046853214502334595,-0.002183656208217144,-0.11322615295648575,0.03705214709043503,-0.08657533675432205,-0.9955560564994812,-0.0032845288515090942,0.004773147404193878,-0.00044614076614379883,0.998886981181447,0.04336629077312082,0.01847538359485666,-0.0016430644286218954
1728066476288026400,0.1330263671875,-0.058463796973228455,-0.0021948423236608505,-0.1320538967847824,0.037096939980983734,-0.08601650595664978,-0.9956028461456299,-0.015292216092348099,0.0043211430311203,-0.002123594284057617,0.9988976198060353,0.043097138436210276,0.01847230518919819,-0.002239803726191686
1728066476298056200,0.14305615234375,-0.06275847554206848,0.007377251051366329,-0.14169400930404663,0.03820423036813736,-0.08481171727180481,-0.9956642985343933,-0.016948819160461426,0.0010869279503822327,-0.0005972981452941895,0.9989112088234368,0.04250798352367926,0.018997854422389573,-0.002939361609279705
1728066476308087300,0.15308740234375,-0.07772570848464966,0.0286516472697258,-0.14679795503616333,0.039408326148986816,-0.08332569152116776,-0.9957428574562073,-0.01938888058066368,-0.0028862804174423218,0.0005798935890197754,0.99892844412882,0.041779528559237784,0.019571620546477157,-0.0036744032261051204
1728066476318117000,0.1631171875,-0.09789016097784042,0.04446565732359886,-0.15859203040599823,0.040240783244371414,-0.0820908322930336,-0.9958121180534363,-0.027148820459842682,-0.005006156861782074,0.0023276209831237793,0.9989426295148996,0.041177628307387096,0.019958551703860385,-0.004442778779486022
1728066476328148200,0.173148193359375,-0.11631204932928085,0.04661083593964577,-0.16680096089839935,0.0407545231282711,-0.08111080527305603,-0.9958715438842773,-0.029600434005260468,-0.0017900094389915466,0.005499839782714844,0.99895368449633,0.040703591593797314,0.020185440410014348,-0.0052315131777246416
1728066476338179300,0.183179443359375,-0.13240952789783478,0.038472212851047516,-0.1682385355234146,0.04143289104104042,-0.07987652719020844,-0.9959433078765869,-0.025746937841176987,-0.0001861676573753357,0.008653879165649414,0.9989668601188982,0.04010409413228442,0.020494189124554692,-0.006069947967764675
1728066476348209200,0.193209228515625,-0.10794387012720108,0.021639171987771988,-0.17012538015842438,0.04207027330994606,-0.07855736464262009,-0.9960215091705322,-0.015413254499435425,0.001958422362804413,0.008213281631469727,0.9989810703247086,0.039462214231099656,0.020784192384967842,-0.006895779973958641
1728066476358240000,0.203239990234375,-0.07975117862224579,0.01437193714082241,-0.18849852681159973,0.04206258803606033,-0.07767882943153381,-0.9960907101631165,-0.0099886953830719,0.00631365180015564,0.007138073444366455,0.9989919639576886,0.03904010983578438,0.02074863114514369,-0.007776050657288115
1728066476368270000,0.21327001953125,-0.07300485670566559,0.021083369851112366,-0.1912200152873993,0.04161851480603218,-0.07698744535446167,-0.9961630702018738,-0.009987130761146545,0.015616782009601593,-0.0029519200325012207,0.9990023406440083,0.03871094389758686,0.02049231577002897,-0.008715514904211514
1728066476378301200,0.22330126953125,-0.06747127324342728,0.025949178263545036,-0.1737600713968277,0.04128330200910568,-0.07646501064300537,-0.9962172508239746,-0.012444272637367249,0.019778788089752197,-0.01579141616821289,0.9990077764977329,0.038465470322570576,0.020292532172535106,-0.009599593074046365
1728066476388332000,0.23333203125,-0.08420178294181824,0.0176616869866848,-0.16864359378814697,0.040882159024477005,-0.0760011076927185,-0.9962692856788635,-0.00882352888584137,0.015759587287902832,-0.009422242641448975,0.9990126423131955,0.0382472813937188,0.020062516852593203,-0.010415700289596664
1728066476398362000,0.243362060546875,-0.11232056468725204,0.011121816001832485,-0.15604977309703827,0.04017207399010658,-0.07537230104207993,-0.9963459372520447,0.0008739829063415527,0.011056683957576752,-0.006400644779205322,0.9990232857122339,0.037943629514161054,0.0196802923022269,-0.011199970513231771
1728066476408393200,0.253393310546875,-0.1245838925242424,0.007596323266625404,-0.15104302763938904,0.039363402873277664,-0.07438746094703674,-0.9964522123336792,0.005009070038795471,0.00962933897972107,0.003959536552429199,0.9990412535876086,0.0374595551813861,0.01925283407982204,-0.011941568253497004
1728066476418423300,0.26342333984375,-0.1277513951063156,0.009376432746648788,-0.15025553107261658,0.038757096976041794,-0.07329457253217697,-0.9965569972991943,0.0058747753500938416,0.0038977786898612976,0.01703423261642456,0.9990585311626722,0.03692191629741364,0.01892848313702743,-0.0126723035802762
1728066476428454100,0.2734541015625,-0.13297225534915924,0.01661224290728569,-0.1556183397769928,0.03861376643180847,-0.07206859439611435,-0.9966519474983215,0.006155434995889664,0.0019546374678611755,0.015298187732696533,0.9990727023968227,0.036320508445468254,0.018837445239496656,-0.013405825052043019
