time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1728066192373142500,0.048142578125,-0.20945623517036438,-0.296425998210907,0.04535443335771561,-0.09154970943927765,-0.3889979124069214,-0.9166783690452576,-0.03953854739665985,0.005208849906921387,-0.02301889657974243,0.9789479314671228,0.1986816222525515,-0.04675923496761103,-1.511688782180664e-17
1728066192383173400,0.05817333984375,-0.18415693938732147,-0.2642758786678314,0.04091520980000496,-0.09428032487630844,-0.38712871074676514,-0.9171927571296692,-0.04559699445962906,-0.003999829292297363,-0.04050987958908081,0.9790793350596159,0.19769473291186457,-0.048170642647027306,-0.00011490759528786906
1728066192393203200,0.068203125,-0.16606688499450684,-0.2998165786266327,0.05625848472118378,-0.09703850746154785,-0.3854885399341583,-0.9175958037376404,-0.04682135581970215,-0.0058231353759765625,-0.039389610290527344,0.9791822233938967,0.19683192766285634,-0.04959109699713437,-0.0002005081800304757
1728066192403234600,0.078234619140625,-0.19431397318840027,-0.3794392943382263,0.10866016894578934,-0.10049578547477722,-0.3837491571903229,-0.9179527163505554,-0.006666697561740875,0.005697399377822876,-0.02385026216506958,0.9792733765176481,0.19592556643653694,-0.05134994105983663,-0.00019261774313518787
1728066192413265400,0.088265380859375,-0.18470501899719238,-0.40278536081314087,0.15584713220596313,-0.1046856939792633,-0.38183385133743286,-0.9182830452919006,0.043040186166763306,0.0032632648944854736,-0.00983273983001709,0.9793576524068672,0.19494339255086546,-0.05343724178056686,0.00004450900011986895
1728066192423295200,0.098295166015625,-0.12249112129211426,-0.3778258264064789,0.14313507080078125,-0.10892762243747711,-0.3802453875541687,-0.918448805809021,0.04970826208591461,0.003856837749481201,0.005591750144958496,0.9793999286235902,0.19414254137674333,-0.055536225718589974,0.0003689890109502184
1728066192433326600,0.10832666015625,-0.07461973279714584,-0.3183526396751404,0.1304837167263031,-0.11270782351493835,-0.37918543815612793,-0.9184309244155884,0.012579657137393951,0.01811671257019043,-0.003062605857849121,0.9793951647726451,0.19362145612654375,-0.05740451041250307,0.0006828454248633348
1728066192443357400,0.118357421875,-0.05104442685842514,-0.2690742611885071,0.13225844502449036,-0.11592058092355728,-0.378461629152298,-0.9183295965194702,-0.01660200208425522,0.015775442123413086,-0.009053826332092285,0.9793690255178373,0.19327856270693633,-0.0589797443316403,0.0010210947785136999
1728066192453387300,0.12838720703125,-0.04860097914934158,-0.2596253752708435,0.11402324587106705,-0.11886947602033615,-0.37787213921546936,-0.918195366859436,-0.02033645659685135,0.01198163628578186,0.0007454156875610352,0.979334306206426,0.19300825749732392,-0.06041641986508044,0.0013826643182918992
1728066192463418400,0.13841845703125,-0.06417334824800491,-0.26315218210220337,0.07468143105506897,-0.1216299831867218,-0.3772170841693878,-0.9181031584739685,-0.004590719938278198,0.0004623234272003174,0.010662972927093506,0.9793105196791657,0.19269340714159505,-0.06178729158857464,0.0015882552994111057
