time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1729873836003613000,0.086613037109375,-0.20758602023124695,0.10466580092906952,-0.31370067596435547,0.4115159213542938,0.3746999502182007,-0.8308156728744507,-0.00544893741607666,0.004770874977111816,-0.0037943124771118164,0.9567695763088075,-0.19581515427589158,0.21505486808229732,2.1169202927734634e-17
1729873836013643000,0.09664306640625,-0.1535947471857071,0.1336572915315628,-0.30449172854423523,0.4113576114177704,0.3774828314781189,-0.8296334743499756,-0.00495496392250061,0.006947129964828491,-0.012270212173461914,0.9564595988873521,-0.1970173936742549,0.21533092757878983,-0.001403588830607626
1729873836023674000,0.106674072265625,-0.07644245028495789,0.15215933322906494,-0.2949024736881256,0.41140154004096985,0.37970277667045593,-0.8285979628562927,-0.028588980436325073,-0.003207385540008545,-0.0108184814453125,0.9561855432247409,-0.19790359629975773,0.21572015438479866,-0.0028686983635360414
1729873836033704000,0.116703857421875,0.017076579853892326,0.19615678489208221,-0.26874253153800964,0.41176295280456543,0.3811050057411194,-0.8277742862701416,-0.042866408824920654,-0.010163813829421997,-0.0005338191986083984,0.9559645014636095,-0.19834351959418925,0.21626999606036174,-0.004360923626439152
1729873836043735000,0.126735107421875,0.06578207015991211,0.25339823961257935,-0.2219529151916504,0.412691593170166,0.38175374269485474,-0.8270125389099121,-0.03915637731552124,-0.010751515626907349,-0.0018448829650878906,0.9557575659241575,-0.1983923922340743,0.2171040887190748,-0.0058121376242455955
1729873836053766000,0.136765869140625,0.0787968710064888,0.2627602517604828,-0.1583494395017624,0.4141165316104889,0.3819321095943451,-0.826217532157898,-0.039620012044906616,-0.012989819049835205,0.0011748671531677246,0.9555412431423691,-0.19823853314992557,0.21815753921433945,-0.00706350998178577
1729873836063796000,0.1467958984375,0.06457026302814484,0.3078603446483612,-0.11236783117055893,0.4159470498561859,0.3818681240081787,-0.8253270983695984,-0.028892546892166138,-0.012483328580856323,0.014169931411743164,0.9553004195338055,-0.19801903095315704,0.21937389633910595,-0.00805202015883695
1729873836073827000,0.1568271484375,0.03794151544570923,0.3428370952606201,-0.11404296010732651,0.4182114601135254,0.38192522525787354,-0.8241555690765381,-0.009901463985443115,0.00006332993507385254,0.014585256576538086,0.9549855067556887,-0.19788740639594235,0.22082300671886582,-0.008980061378673273
1729873836083857200,0.166857177734375,0.01724396087229252,0.32981076836586,-0.10309816896915436,0.4206002354621887,0.38217368721961975,-0.8228236436843872,-0.024863511323928833,0.0034769773483276367,0.005135715007781982,0.9546277669975046,-0.19786679413273178,0.22234413484029242,-0.0098842317038749
1729873836093888000,0.176887939453125,0.04485015571117401,0.28967148065567017,-0.0844094380736351,0.4227960705757141,0.38235023617744446,-0.8216153979301453,-0.016835927963256836,0.00537562370300293,0.0013791918754577637,0.9543030546218113,-0.19783221160782802,0.22372914418495005,-0.010652298341541723
1729873836103918000,0.18691796875,0.10759636014699936,0.3271181881427765,-0.10670941323041916,0.4249590337276459,0.3821801245212555,-0.8205779790878296,0.0156843364238739,0.018378376960754395,-0.008203089237213135,0.9540213764688918,-0.19758463917727984,0.22510290027239047,-0.011506262978716299
1729873836113949200,0.19694921875,0.17555543780326843,0.3178987503051758,-0.10832701623439789,0.4271916449069977,0.38145750761032104,-0.8197545409202576,0.006829410791397095,0.03289493918418884,-0.033303260803222656,0.9537926524707289,-0.1969929149772365,0.2265314976189686,-0.012529642484666379
1729873836123979000,0.20697900390625,0.16662932932376862,0.26856130361557007,-0.08940552920103073,0.4292363226413727,0.3804386556148529,-0.819159746170044,-0.029562801122665405,0.03334921598434448,-0.055779218673706055,0.953623790932023,-0.19624950924579462,0.2278294528951868,-0.013479911707885681
1729873836134010000,0.217010009765625,0.1308276504278183,0.24921321868896484,-0.06707704812288284,0.4310208857059479,0.37955352663993835,-0.8186330795288086,-0.015508770942687988,0.024956971406936646,-0.04191678762435913,0.953473982289103,-0.1956086018490664,0.22895575371869473,-0.014278089407774823
1729873836144040200,0.227040283203125,0.07906298339366913,0.2685275375843048,-0.03287513926625252,0.4329369068145752,0.3789112865924835,-0.8179191946983337,-0.00454634428024292,0.018839597702026367,-0.028913021087646484,0.953277286433116,-0.19514473407844965,0.23012807081438313,-0.01489869602978948
1729873836154071000,0.237071044921875,0.016179895028471947,0.269197553396225,-0.0005936315283179283,0.4351017475128174,0.37862420082092285,-0.8169028162956238,-0.028775393962860107,0.004813969135284424,-0.031928300857543945,0.9530044924834818,-0.19493317149197836,0.23140795677937268,-0.015297263926408048
1729873836164102100,0.24710205078125,-0.025035718455910683,0.2243397831916809,0.021052543073892593,0.43717214465141296,0.37865716218948364,-0.8157814145088196,-0.05352035164833069,-0.021097958087921143,-0.026259541511535645,0.9527072246775192,-0.1949466105110285,0.232605063207699,-0.01548350338054872
1729873836174132200,0.25713232421875,-0.0037382198497653008,0.1933974176645279,0.04579916596412659,0.4389818012714386,0.37865155935287476,-0.814811646938324,-0.04673931002616882,-0.03612223267555237,-0.02040863037109375,0.9524523631741856,-0.19497298661403253,0.2336229865750218,-0.015509146836315707
1729873836184163000,0.2671630859375,0.013259672559797764,0.1723981350660324,0.08037658780813217,0.4407111406326294,0.3783528804779053,-0.8140164613723755,-0.03330138325691223,-0.038890570402145386,-0.032007038593292236,0.9522454639343643,-0.19487179774132696,0.23455647244722835,-0.015393547776691874
